SYMBOL,PROFIT,NAME OF COMPANY
SAKHTISUG,0.20083687,Sakthi Sugars Limited
RAJSREESUG,0.18696581,Rajshree Sugars & Chemicals Limited
SIMBHALS,0.1793249,Simbhaoli Sugars Limited
FACT,0.17733441,Fertilizers and Chemicals Travancore Limited
MADRASFERT,0.16942416,Madras Fertilizers Limited
MAWANASUG,0.16823533,Mawana Sugars Limited
RANASUG,0.16309018,Rana Sugars Limited
UGARSUGAR,0.16217767,The Ugar Sugar Works Limited
AGROPHOS,0.15519257,Agro Phos India Limited
KCPSUGIND,0.15019768,KCP Sugar and Industries Corporation Limited
MHLXMIRU,0.14976855,Mahalaxmi Rubtech Limited
EPL,0.1372024,EPL Limited
SILINV,0.11992256,SIL Investments Limited
GOKUL,0.11608396,Gokul Refoils and Solvent Limited
THEMISMED,0.11527998,Themis Medicare Limited
PONNIERODE,0.11339015,Ponni Sugars (Erode) Limited
KOHINOOR,0.11218567,Kohinoor Foods Limited
AROGRANITE,0.110102214,Aro Granite Industries Limited
NFL,0.10802922,National Fertilizers Limited
EXCEL,0.100000024,Excel Realty N Infra Limited
BAJAJHIND,0.099358924,Bajaj Hindusthan Sugar Limited
VISHWARAJ,0.093023166,Vishwaraj Sugar Industries Limited
COUNCODOS,0.09278356,Country Condo's Limited
PALREDTEC,0.09204881,Palred Technologies Limited
MBECL,0.09090908,Mcnally Bharat Engineering Company Limited
