SYMBOL,PROFIT,NAME OF COMPANY,TIMESTAMP
SAKHTISUG,0.20083687,Sakthi Sugars Limited,16-DEC-2022
RAJSREESUG,0.18696581,Rajshree Sugars & Chemicals Limited,16-DEC-2022
SIMBHALS,0.1793249,Simbhaoli Sugars Limited,16-DEC-2022
FACT,0.17733441,Fertilizers and Chemicals Travancore Limited,16-DEC-2022
MADRASFERT,0.16942416,Madras Fertilizers Limited,16-DEC-2022
MAWANASUG,0.16823533,Mawana Sugars Limited,16-DEC-2022
RANASUG,0.16309018,Rana Sugars Limited,16-DEC-2022
UGARSUGAR,0.16217767,The Ugar Sugar Works Limited,16-DEC-2022
AGROPHOS,0.15519257,Agro Phos India Limited,16-DEC-2022
KCPSUGIND,0.15019768,KCP Sugar and Industries Corporation Limited,16-DEC-2022
MHLXMIRU,0.14976855,Mahalaxmi Rubtech Limited,16-DEC-2022
EPL,0.1372024,EPL Limited,16-DEC-2022
SILINV,0.11992256,SIL Investments Limited,16-DEC-2022
GOKUL,0.11608396,Gokul Refoils and Solvent Limited,16-DEC-2022
THEMISMED,0.11527998,Themis Medicare Limited,16-DEC-2022
PONNIERODE,0.11339015,Ponni Sugars (Erode) Limited,16-DEC-2022
KOHINOOR,0.11218567,Kohinoor Foods Limited,16-DEC-2022
AROGRANITE,0.110102214,Aro Granite Industries Limited,16-DEC-2022
NFL,0.10802922,National Fertilizers Limited,16-DEC-2022
BAJAJHIND,0.099358924,Bajaj Hindusthan Sugar Limited,16-DEC-2022
VISHWARAJ,0.093023166,Vishwaraj Sugar Industries Limited,16-DEC-2022
PALREDTEC,0.09204881,Palred Technologies Limited,16-DEC-2022
KMSUGAR,0.089126565,K.M.Sugar Mills Limited,16-DEC-2022
GLOBAL,0.08909244,Global Education Limited,16-DEC-2022
ACEINTEG,0.08650196,Ace Integrated Solutions Limited,16-DEC-2022
FACT,0.2022563,Fertilizers and Chemicals Travancore Limited,15-DEC-2022
MADRASFERT,0.20048906,Madras Fertilizers Limited,15-DEC-2022
INDBANK,0.15279877,Indbank Merchant Banking Services Limited,15-DEC-2022
AGROPHOS,0.13359787,Agro Phos India Limited,15-DEC-2022
GREENPOWER,0.124324284,Orient Green Power Company Limited,15-DEC-2022
MIRCELECTR,0.11656452,MIRC Electronics Limited,15-DEC-2022
INDIANCARD,0.11473405,Indian Card Clothing Company Limited,15-DEC-2022
ARIES,0.11413217,Aries Agro Limited,15-DEC-2022
GICRE,0.10687504,General Insurance Corporation of India,15-DEC-2022
NFL,0.104417674,National Fertilizers Limited,15-DEC-2022
EMAMIREAL,0.09999996,Emami Realty Limited,15-DEC-2022
SHAHALLOYS,0.09991814,Shah Alloys Limited,15-DEC-2022
PROZONINTU,0.09775974,Prozone Intu Properties Limited,15-DEC-2022
IOB,0.0859375,Indian Overseas Bank,15-DEC-2022
MTNL,0.08577001,Mahanagar Telephone Nigam Limited,15-DEC-2022
NAVA,0.0852776,NAVA LIMITED,15-DEC-2022
UCOBANK,0.082066774,UCO Bank,15-DEC-2022
DHANBANK,0.07939916,Dhanlaxmi Bank Limited,15-DEC-2022
MAHINDCIE,0.07825345,Mahindra CIE Automotive Limited,15-DEC-2022
KHAICHEM,0.07779264,Khaitan Chemicals & Fertilizers Limited,15-DEC-2022
UNIENTER,0.07161801,Uniphos Enterprises Limited,15-DEC-2022
LAXMICOT,0.07157898,Laxmi Cotspin Limited,15-DEC-2022
RCF,0.06742419,Rashtriya Chemicals and Fertilizers Limited,15-DEC-2022
TVSELECT,0.06644971,TVS Electronics Limited,15-DEC-2022
GSFC,0.059786435,Gujarat State Fertilizers & Chemicals Limited,15-DEC-2022
ONELIFECAP,0.18450177,Onelife Capital Advisors Limited,14-DEC-2022
ANDREWYU,0.18199234,Andrew Yule & Company Limited,14-DEC-2022
PEARLPOLY,0.170354,Pearl Polymers Limited,14-DEC-2022
DYCL,0.14804146,Dynamic Cables Limited,14-DEC-2022
INDORAMA,0.13608421,Indo Rama Synthetics (India) Limited,14-DEC-2022
NXTDIGITAL,0.13316192,NXTDIGITAL LIMITED,14-DEC-2022
GTLINFRA,0.11999998,GTL Infrastructure Limited,14-DEC-2022
AHLUCONT,0.11750755,Ahluwalia Contracts (India) Limited,14-DEC-2022
SITINET,0.11111111,Siti Networks Limited,14-DEC-2022
DJML,0.10507753,DJ Mediaprint & Logistics Limited,14-DEC-2022
GICHSGFIN,0.104411766,GIC Housing Finance Limited,14-DEC-2022
YUKEN,0.10380899,Yuken India Limited,14-DEC-2022
PGEL,0.10061143,PG Electroplast Limited,14-DEC-2022
IVC,0.09933775,IL&FS Investment Managers Limited,14-DEC-2022
SETCO,0.097457595,Setco Automotive Limited,14-DEC-2022
HATHWAY,0.09428569,Hathway Cable & Datacom Limited,14-DEC-2022
CHEMBOND,0.09297642,Chembond Chemicals Ltd,14-DEC-2022
ARVEE,0.0902691,Arvee Laboratories (India) Limited,14-DEC-2022
UNIVASTU,0.088942304,Univastu India Limited,14-DEC-2022
IDEA,0.08805029,Vodafone Idea Limited,14-DEC-2022
UCOBANK,0.086601295,UCO Bank,14-DEC-2022
SURYODAY,0.084471,Suryoday Small Finance Bank Limited,14-DEC-2022
HTMEDIA,0.08275858,HT Media Limited,14-DEC-2022
NIACL,0.08171378,The New India Assurance Company Limited,14-DEC-2022
GICRE,0.08040536,General Insurance Corporation of India,14-DEC-2022
PALASHSECU,0.21600421,Palash Securities Limited,13-DEC-2022
SITINET,0.19999994,Siti Networks Limited,13-DEC-2022
UCOBANK,0.18571426,UCO Bank,13-DEC-2022
INDBANK,0.1777778,Indbank Merchant Banking Services Limited,13-DEC-2022
CENTRALBK,0.16642113,Central Bank of India,13-DEC-2022
IOB,0.12591244,Indian Overseas Bank,13-DEC-2022
YESBANK,0.11395352,Yes Bank Limited,13-DEC-2022
SAKUMA,0.11356462,Sakuma Exports Limited,13-DEC-2022
HUDCO,0.10431296,Housing & Urban Development Corporation Limited,13-DEC-2022
ARROWGREEN,0.09979802,Arrow Greentech Limited,13-DEC-2022
SEAMECLTD,0.09823232,Seamec Limited,13-DEC-2022
VSSL,0.09687836,Vardhman Special Steels Limited,13-DEC-2022
DHANBANK,0.09360736,Dhanlaxmi Bank Limited,13-DEC-2022
MOTOGENFIN,0.09199997,The Motor & General Finance Limited,13-DEC-2022
MAHABANK,0.09197331,Bank of Maharashtra,13-DEC-2022
SECURKLOUD,0.08740162,SECUREKLOUD TECHNOLOGIES LIMITED,13-DEC-2022
FINOPB,0.08728448,Fino Payments Bank Limited,13-DEC-2022
VARDHACRLC,0.085477896,Vardhman Acrylics Limited,13-DEC-2022
WORTH,0.08099545,Worth Peripherals Limited,13-DEC-2022
INDIANB,0.080882356,Indian Bank,13-DEC-2022
BYKE,0.0804195,The Byke Hospitality Ltd,13-DEC-2022
UNIDT,0.07950669,United Drilling Tools Limited,13-DEC-2022
GENUSPOWER,0.07745661,Genus Power Infrastructures Limited,13-DEC-2022
EQUITASBNK,0.077189885,Equitas Small Finance Bank Limited,13-DEC-2022
SIMPLEXINF,0.07461536,Simplex Infrastructures Limited,13-DEC-2022
BLBLIMITED,0.14832538,BLB Limited,12-DEC-2022
CREATIVE,0.14789005,Creative Newtech Limited,12-DEC-2022
FACT,0.12555487,Fertilizers and Chemicals Travancore Limited,12-DEC-2022
MCL,0.12355842,Madhav Copper Limited,12-DEC-2022
